Assamese_Sentence	English_Translation
ঠগ-প্ৰৱঞ্চকৰ জালত পৰি দিশহাৰা হৈ পৰিছে বহু নাৰী।	Many women have become disoriented by falling into the trap of conmen.
ইপিনে ডেক্স বেঞ্চো নাই পৰ্যাপ্ত পৰিমানে ।	Similarly, there are not enough desk benches.
মুখ্যমন্ত্ৰীগৰাকীয়ে হেলিকপ্টাৰ যোগে গোসাইগাঁও হাব্ৰুবিলস্তিত হাব্ৰুবিল হাইস্কুলত অৱতিৰ্ণ হোৱাৰ পাছতেই পোনে পোনে মহকুমাখনৰ পদ্মবিলস্তিত প্ৰয়াত জাষ্টিন লাক্ৰাৰ গৃহত উপস্থিত হৈ লাক্ৰাৰ ছহীদ বেদীত শ্ৰদ্ধাঞ্জলি জ্ঞাপন কৰাৰ পাছতে প্ৰয়াত লাক্ৰাৰ পত্নী লতা তিৰু লাক্ৰাৰ সৈতে মত বিনিময় কৰে ৷	The Chief Minister, after landing at Habrubil High School at Gossaigaon Habrubilasti by helicopter, immediately reached the house of Late Justin Lakra at Padmabilasti in the same subdivision and paid homage at the Shaheed Bedi of Lakra and interacted with Late Lakra's wife Lata Tiru Lakra.
৩৯৪টা পদ খালী : সীমিত সংখ্যক কৰ্মচাৰীৰে চলাইছে বিভাগীয় কাম-কাজ	394 posts vacant: Departmental work to be carried on with limited staff
শাৰিৰিকভাৱে বাধাগ্ৰস্থ লোকৰ বাবে জাবেদে গঠন কৰিছে এটা বিশেষ অনুষ্ঠানৰ।	Javed has created a special show for the physically challenged.
সংঘাত এই কাৰণেই হোৱা নাই যে, এই সমস্যাটো উত্থাপন হ’লেই আমি আলাপ আলোচনা এই বিষয়ত পুনৰ ব্যৱস্থা গ্ৰহণ কৰিম।	The conflict is not due to the fact that, when this issue arises, we will re-arrange the talks on this issue.
কোৰোনা অভাৰ! এতিয়া ৰাজনীতিঃ ২০২১ত হ’ব নেকি ২০১৪ৰ পুনৰাবৃত্তি	Corona over! Politics now: Will there be a repeat of 2014 in 2021?
প্ৰশিক্ষণৰ এই সময়চোৱাত মন্ত্ৰনালয়ে অনলাইনযোগে প্ৰতিজন শিক্ষকৰ ওপৰত নজৰ ৰাখিব।	During this period of training, the ministry will monitor each teacher online.
এই ৰেকেট ভংগৰ বাবে চি আই ডিয়ে ৰাজ্যৰ বিভিন্ন স্থানত তালাচী আৰু ষ্টকৰ প্ৰমাণীকৰণৰ বাবে কেইবাটাও দল গঠন কৰিছে।	To bust the racket, the CID has formed several teams to conduct raids at various places in the state and verify the stocks.
এটা চহীৰ বাবে চিকিৎসকৰ পৰা ২০০০ টকা উৎকোচ লোৱা বাক্সা জিলাৰ যুটীয়া স্বাস্থ্য সঞ্চালক অভিজিত বাসুক নিলম্বন কৰা হৈছে।	Baksa district Joint Health Director Abhijit Basu, who took a bribe of Rs 2,000 from a doctor for a year, has been suspended.
এই অনুষ্ঠানত এংকৰ ৰূপত থাকিব বলিউডৰ বাদশ্বাহ খ্যাত শ্বাহৰুখ খান আৰু কৰণ জোহাৰ।	The event will be anchored by the Badshah of Bollywood, Shah Rukh Khan and Karan Johar.
ব্যস্ত সূচীৰ ফলত তেওঁ সামান্য জ্বৰত ভুগিবলগীয়াও হয়৷	Due to his busy schedule, he also suffers from a slight fever.
সকলো একে বুজিছে।	Everyone understands it.
মুখ্যমন্ত্রীয়ে উল্লেখ কৰে যে ৰাধা গোবিন্দ বৰুৱা পথ আৰু গীতানগৰ তিনিআলিক সংযোগ কৰি ৰাজ্য চৰকাৰে আন এখন ফ্লাই অভাৰ নির্মাণ কৰিব৷	The Chief Minister mentioned that the State Government will construct another Flyover connecting Radha Gobinda Baruah Road and Geetanagar Triangle.
ৰাজ্য চৰকাৰখনক সমালোচনা কৰি সোমবাৰে সাংসদগৰাকীয়ে কয়– বিজেপি নেতৃত্বাধীন নতুন চৰকাৰখনে ক্ষমতাত অহাৰ পৰাই এনে কিছু সিদ্ধান্ত লৈছে যে অসম তথা অসমীয়াৰ অস্তিত্বক সংকটলৈ ঠেলি দিছে৷	Criticizing the state government, the MP on Monday said that ever since the new BJP-led government came to power, it has taken some decisions that have put Assam and Assamese's existence in jeopardy.
আনহে নালাগে, এনে বিখ্যাত চিত্ৰকৰ সকলৰ ছবি চৰকাৰে সংগ্ৰহ কৰি অতি কম টকাতে অসমৰ বিদ্যালয়, অফিচ কাৰ্যালয়ত আঁৰি সেইবোৰৰ সংৰক্ষণৰ ব্যৱস্থা কৰিব পাৰিলে হয়।	Otherwise, the government can collect the pictures of such famous painters and arrange for their preservation by drawing them in schools, office offices of Assam for very little money.
চেটেলাইটটোৰ প্ৰক্ষেপণৰ দায়িত্বত থকা বিজ্ঞানী এ পি জে আব্দুল কালাম, ইছৰ’ৰ অধ্যক্ষ সতীশ ধাৱানৰ ইতিকিংসূচক কাৰ্টুনেৰে ভৰি পৰিল বাতৰি কাকত।	Newspapers were filled with satirical cartoons of APJ Abdul Kalam, the scientist in charge of the satellite's launch, and ISRO chairman Satish Dhawan.
অতীন্দ্ৰ চক্ৰৱৰ্তীৰ মতে এই অসাধাৰণ মহিলাগৰাকীক কিছু সহায় কৰাৰ উদ্দেশ্যৰে তেওঁ এইদৰে ভিডিঅ’ বনাই ফেচবুকত সেই গানবোৰ শ্বেয়াৰ কৰিছিল।	According to Atindra Chakraborty, he made such videos and shared those songs on Facebook with the intention of giving some help to this extraordinary woman.
অৰুণাচলৰ পৰা ওদালগুৰি সীমান্তৰে অসমলৈ ডেৰ শতাধিক লোক	One and a half hundred people cross the border from Arunachal to Udalguri in Assam
ইয়াৰ বাবে সংক্ৰমণৰ ওপৰত ভিত্তি কৰি জিলাসমূহক ৰেড, গ্ৰীণ আৰু অৰেঞ্জ আদি জ’নত ভাগ কৰিবলৈকো কৈছে প্ৰধানমন্ত্ৰীগৰাকীয়ে।	For this, the Prime Minister has also asked to divide the districts into Red, Green, and Orange zones based on the infection.
সদৌ অসম ছাত্ৰ সন্থাৰ আহ্বান মৰ্মে,নিত্য প্ৰয়োজনীয় খাদ্য সামগ্ৰী, দৰব , ইন্ধনজাত সামগ্ৰী, ৰন্ধন গেছ ,গৃহ নিৰ্মান সামগ্ৰীকে ধৰি সকলো সামগ্ৰীৰ আকাশলঙ্ঘী মূল্যবৃদ্ধিৰ প্ৰতিবাদত আৰু একপ্ৰকাৰৰ নিয়ন্ত্ৰণহীন  অবস্থালৈ গতি কৰা  এনে মূল্যবৃদ্ধি তাৎক্ষণিক ভাৱে হ্ৰাস কৰাৰ দাবীত সদৌ লখিমপুৰ জিলা ছাত্ৰ সন্থাই জিলা সদৰত শুকুৰবাৰে দুপৰীয়া অনুষ্ঠিত কৰে  সত্যাগ্ৰহ কাৰ্যসূচী ।	On the call of the All Assam Students'Union, in protest against the skyrocketing prices of all commodities including essential food items, medicines, fuel products, cooking gas, housing materials, and demanding immediate reduction of such prices which are spiralling out of control, the All Assam Lakhimpur District Students'Union held a satyagraha programme at the district headquarters on Friday afternoon.
ইফালে ভাৰতীয় দলৰ অধিনায়ক বিৰাট কোহলীক ৰাজস্থান ৰয়েলছে ২০২০ৰ আই পি এলৰ বাবে প্ৰদান কৰিছে ১৭ কোটি টকা।	Meanwhile, Indian team captain Virat Kohli has been paid ₹17 crore by Rajasthan Royals for the 2020 IPL.
নৱবৈষ্ণৱ ধৰ্ম প্ৰচাৰ কৰি অসমীয়া সমাজ-জীৱনক একত্ৰিত কৰিছিল শংকৰদেৱে৷	Sankardev consolidated Assamese social life by propagating neo-Vaishnavism.
লাডাখত চীন-ভাৰতীয় সেনা বাহিনীৰ সংঘৰ্ষ	Indian, Chinese troops clash in Ladakh
আপুনিও হওঁক সাৱধান।	You've to be careful.
ৰাইজৰ যাতায়তৰ বাবে এখন দলংৰ অভাৱ ।	There is a lack of a bridge for public transport.
এনে অসুবিধা দূৰ কৰাৰ বাবে আজিৰে পৰা পুৱা আৰু গধূলি দুটা ভাগত ৰোগ নির্ণয়ৰ কাম–কাজ চলিব৷	In order to overcome such difficulties, from today onwards, diagnostic work will be carried out in two parts in the morning and evening.
ইয়াৰ সৌন্দৰ্য আৰু মানুহৰ ব্যৱহাৰত মুগ্ধ বুলি প্ৰকাশ কৰি অভিনেত্ৰীদ্বয়ে লগতে কয় যে, তেওঁলোকে এইবাৰ কাজিৰঙা ৰাষ্ট্ৰীয় উদ্যানলৈ যাব নোৱাৰিব যদিও তেওঁলোকে পুণৰ অসম ভ্ৰমণৰ পৰিকল্পনা কৰিছে আৰু তেতিয়াই ৰাজ্যখনৰ দৰ্শন কৰিবলগীয়া স্থানসমূহলৈও যাব৷	Revealing that they are fascinated by its beauty and human behaviour, the actors added that they won't be going to Kaziranga National Park this time but they plan to visit Assam again and will also visit places to visit in the state.
আমি যদি ইয়াৰ পৰা নিজ মতে খোজকাঢ়ি ওলাই যাওঁ, আমাক হত্যা কৰা হ’ব৷	If we walk out of here on our own, we will be killed.
পিচত দম্পতীহালে দ্ৰুতবেগী মটৰ চাইকেল এখনেৰে নিজগৃহ অভিমূখে গৈ থকা অৱস্থাত মটৰ চাইকেলখন ঘোঁৰামাৰা পথাৰৰ ৰাজপথত নিয়ন্ত্ৰণ হেৰুৱাই দুৰ্ঘটনাগ্ৰস্থ হয়৷	Later, the couple was going towards their home on a speeding motorcycle when the motorcycle lost control and crashed on the highway at Ghoramara field.
সেই দোকানসমূহত বজাৰ কৰিবলৈ পথৰ যিকোনো স্থানত যান-বাহন ৰখাই কোনো ব্যক্তি নামি যোৱাৰ বাবেই সেই স্থানত বৃহৎ যান-জঁট সৃষ্টি হ’ব পাৰে।	Huge traffic jams can occur at those stores as a result of a person stopping and getting off a vehicle at any point along the route to shop.
বিজুৱে ব্যৱহাৰ কৰা ম’বাইল নম্বৰটো আছিল ৭০৩৫৮৭৩৮১০।	The mobile number used by Biju was 7035873810.
উন্মাদ প্রেমিকৰ নৃশংসতাৰ বলিঃ মৃত্যুৰ ওচৰত হাৰ মানিলে ধেমাজিৰ দুর্ভগীয়া নন্দিতাই; ধেমাজিত শোকৰ ছাঁ	Victim of insane lover's atrocity: Dhemaji's distressed Nandita succumbs to death; Dhemaji in mourning
ৰাষ্ট্ৰীয় মহিলা আয়োগৰ অৰ্থ সাহাৰ্যত আয়োজিত উত্তৰ পূৰ্বাঞ্চলৰ সংঘাত আৰু প্ৰাকৃতিক দূৰ্যোগৰ পৰিপেক্ষিতত মহিলাৰ বিৰুদ্ধে অপৰাধশীৰ্ষক এই আলোচনা চক্ৰখন উদ্ধোধন কৰে আই আই টি, খড়গপুৰৰ ড০ পি কে ভৌমিকে।	The symposium, titled Crimes against Women in the Context of Conflict and Natural Disasters in the North-East, organised under the aegis of the National Commission for Women, was inaugurated by Dr PK Bhowmik of IIT, Kharagpur.
কেব, চৰকাৰ বিৰোধী শ্ল’গানেৰে মুখৰিত আকাশ-বতাহ।	CAB, sky-rocketed with anti-government slogans.
অধিনায়ক কোহলীয়ে পিছৰ খেলত দলৰ সকলো দুৰ্বলতা আতৰ কৰা হব বুলিও জনায়।	Skipper Kohli also informed that all the weaknesses of the team will be removed in the next match.
গ্ৰীচঃ ৯৮জন।	Greece: 98.
গৰুখুঁটি কৃষি প্রকল্প ভূমি বেদখলমুক্ত কৰাৰ অভিযান যিকোনো প্রকাৰে বন্ধ কৰিবলৈ আনকি আন্তঃৰাষ্ট্রীয় পর্যায়তো তৎপৰ প্রতিক্রিয়াশীল চক্রটোৰ বাবে আজিৰ মুখ্যমন্ত্রীৰ মন্তব্যই তাৎপর্য বহন কৰিছে৷	Today's Chief Minister's statement assumes significance in the wake of the reactionary clamour, even at the international level, to stop at any cost the drive to clear the Garukhuti Agriculture Project land of encroachments.
ট্ৰাক আৰু ব্যক্তিগত বাহনৰ মাজত সংঘৰ্ষ, নিহত ৫ যাত্ৰী…	A collision between a truck and a private vehicle, 5 passengers died...
মঙলবাৰে দুয়ো অভিযুক্তকে হোজাই জিলা সদৰ শংকৰদেৱ নগৰ আদালতত হাজিৰ কৰি সাত দিনৰ বাবে আৰক্ষীয়ে জিম্মাত লয়৷	On Tuesday, both the accused were produced before the Hojai district headquarters Sankardev Nagar court and remanded in police custody for seven days.
বিতৰ্কিত নাগৰিকত্ব সংশোধনী আইন বাতিলৰ দাবীত ৰাজপথলৈ ওলাই আহিল বোকাজানৰ জ্যেষ্ঠ নাগৰিক সমাজ।	Senior citizens of Bokajan have come out on the streets demanding the repeal of the controversial Citizenship Amendment Act.
অর্থাৎ ১৫ জানুৱাৰীলৈ বিদ্যালয়সমূহ বন্ধ থাকিব৷	This means that schools will be closed until January 15.
বিৰোধী দলপতি দেবব্ৰত শইকীয়া, ৰিপুন বৰা, এই কোৰোনাৰ প্ৰতিৰোধৰ নামত কৰা ব্যৱস্থাগত ফলৰ কথা উনুকিয়াই দিয়া সকলক বা সাংবাদিকক গোৱাল গালি পাৰি গ’ল কিপাৰ নোহোৱা অৱস্থাত গ’ল দি আছে, দি থাকক, পৰিস্থিতি নিয়ন্ত্ৰণলৈ আহিলে তেওঁলোকেও গ’ল খাবলৈ সাজু হওঁক বুলি দিয়া হুংকাৰ এজন জনপ্ৰতিনিধিৰ মুখত শোভা নাপায়।	The face of a popular representative of the opposition party Debabrata Saikia, Ripun Bora, a popular representative of the Hunka, who is giving away goals in the absence of a goalkeeper in the name of the prevention of this corona, or the journalist, who is abusing the goal, does not look good, if the situation comes under control, they should also be ready to score goals.
শনিবাৰে	on saturday 。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。
কার্যতঃ এক আতংকময় পৰিস্থিতি বিৰাজ কৰিছে সমগ্র দেশখনতে৷	There is an atmosphere of fear in the entire country.
অৱশ্যো এটা কথাউল্লেখ কৰিব লাগিব যে, যিসকললোকৰ শৰীৰত কম পৰিমাণৰ চেনি দৰকাৰ হয়, তেনে লোকে অধিক পৰিমাণৰ চেনি খালে অসুখ হয়।	One thing that needs to be mentioned is that people who need less sugar in their body tend to get sick from eating too much sugar.
পাক গৃহমন্ত্ৰী শ্বেখ ৰছিদেও কৰিছে অনুৰূপ মন্ত‍‍ব্য।	A similar statement was made by Pakistan's Interior Minister Sheikh Rasheed.
লক্ষণীয়ভাৱে বর্তমান আমেৰিকাৰ বহু শীর্ষ বিষয়ববীয়াই শীতল যুদ্ধৰ পোষকতা কৰি অহা বুলি উল্লেখ কৰিছে ৰাষ্ট্রদূতগৰাকীয়ে৷	Significantly, the ambassador noted that many top American officials are now advocating for a Cold War.
"কাইলৈ বজালীৰ ভট্টদেৱ বিশ্ববিদ্যালয়ত ""বিজ্ঞান আৰু ভগৱানৰ ইচ্ছা"" শীৰ্ষক বক্তৃতানুষ্ঠান"	"Lecture on ""Science and God's Will"" at Bhattadev University, Bajali tomorrow"
নব্বৈ বছৰীয়া জন্মদিনত ৰাইজৰ মৰম পাই উৎফুল্লিত হৈ পৰা প্ৰাক্তন শিক্ষামন্ত্ৰীগৰাকীয়ে ১৩ নম্বৰ বাৰৰ বাবে বিধানসভা নিৰ্বাচনত প্ৰতিদ্বন্দ্বিতা কৰাৰ আশা মনত পুহি ৰখাৰ কথা সদৰী কৰে ৷	The former education minister, who was overwhelmed by the public's love on his 90th birthday, said he harbours hopes of contesting the assembly elections for the 13th time.
এয়া দুৰ্ঘটনা নে আত্মহত্যা সেই বিষয়ে জানিব পৰা হোৱা নাই।	It is not known whether it was an accident or suicide.
দুগ্ধ উন্নয়ন তথা পশুপালন আৰু পশু চিকিৎসা বিভাগৰ উচ্চপদস্থ বিষয়াৰ লগত মন্ত্ৰী অতুল বৰাৰ বৈঠক	Minister Atul Bora holds meeting with senior officers of Dairy Development & Animal Husbandry & Veterinary Department
সমষ্টিটোৰ নোটা ভোটৰ সংখ্যা হৈছে ১৭১৪টা।	The number of NOTA votes in the constituency is 1714.
পঞ্জাবত ৭ মন্ত্রীৰ আছে অপৰাধৰ গোচৰ; ৯গৰাকী মন্ত্রী কোটিপতি	In Punjab, 7 ministers have criminal cases against them; 9 ministers are millionaires.
ভাঙিলে গাড়ীৰ আইনা ৷	The window of the car was broken.
মঙলবাৰে দুপৰীয়া ১ বজাত নৱগ্ৰহলৈ লৈ যোৱা হ’ব তেওঁৰ নশ্বৰদেহ।	His mortal remains will be taken to Navagraha at 1 pm on Tuesday.
জ্যেষ্ঠ আইনজ্ঞ অৰূপ বৰবৰাৰ অধিবক্তা পত্নীয়েও উক্ত অনুষ্ঠানত অংশ লয়।	Senior advocate Arup Borbora's lawyer wife also participated in the event.
ফেচবুকত মুখ্যমন্ত্ৰীৰ নামত এটা পেজ আছে।	There is a page on Facebook in the name of the Chief Minister.
ক’ভিডৰ অমিক্রন প্রকৰণৰ দ্বাৰা আটাইতকৈ বেছি আক্রান্ত দেশ হিচাপে চিহ্ণিত হৈছে ব্রিটেইন৷	Britain has been identified as the country most affected by the Omicron variant of Covid.
আমতোলাৰ অনিমেষ বৰুৱা (৬৭) নামৰ লোকজনৰ মৃত্যু।	The deceased has been identified as Animesh Baruah (67) of Amtola.
সেই সময়তে তৃণমূলৰ কৰ্মীয়ে বিজেপিৰ বাহনত আক্ৰমণ কৰি গালি-গালাজ কৰে।	At the same time, Trinamool workers attacked the BJP convoy and hurled abuses.
পিতৃয়ে পৰিয়ালৰ পৰা ফোন যোগে গম পায় সকলো কথা।	The father gets to know about everything by phone from the family.
নিয়মীয়া বাৰ্তা ৩০ অক্টোবৰঃ প্রতিদিনে বৃদ্ধি হৈ থকা পেট্র’ল–ডিজেলৰ মূল্যই ৰাজ্যবাসীক দিশহাৰা কৰাৰ সময়তে অচিৰেই ইন্ধনজাত সামগ্রীৰ মূল্য হ্রাস হ’ব বুলি আশা প্রকাশ কৰিছে মুখ্যমন্ত্রী ড০ হিমন্ত বিশ্ব শর্মাই৷	Regular Message 30 October: Chief Minister Dr. Himanta Biswa Sarma has expressed hope that the prices of fuel items will be reduced soon at a time when the rising prices of petrol and diesel are haunting the people of the state.
কেন্দ্ৰীয় নীতিন গাডকাৰী, বিত্তমন্ত্ৰী অৰুণ জেটলী, সুষমা স্বৰাজ আৰু উমা ভাৰতীও অন্তৰ্ভূক্ত হৈছে ষ্টাৰ কেম্পেইনাৰৰ তালিকাত।	Union Minister Nitin Gadkari, Finance Minister Arun Jaitley, Sushma Swaraj and Uma Bharti have also been included in the list of star campaigners.
অচিৰেই ৰেলৱে সুৰক্ষা বল অৰ্থাৎ আৰ পি এফত নিযুক্তি দিয়া হব ৯ হাজাৰো অধিক যুৱক-যুৱতীক।	More than 9 thousand youth will be recruited in the Railway Protection Force i.e. RPF soon.
উপায়ুক্তৰ কার্যালয়কে ধৰি সমগ্র চহৰখন নতুন ৰূপত সজাই–পৰাই তোলা হৈছে৷	The entire city, including the Deputy Commissioner's office, has been spruced up.
চৰকাৰেও তদন্ত ঘোষণা কৰিলে।	The government also announced an investigation.
স্বাস্থ্যমন্ত্ৰী কেশৱ মহন্তই টুইটযোগে প্ৰকাশ কৰা এই তথ্য অনুসৰি কামৰূপ (মঃ)ত ১,৯৯৬ গৰাকী কৰ’নাত আক্ৰান্ত হোৱাৰ লগতে ২৪ ঘণ্টাত ৰাজ্যত কৰ’নাত মৃত্যু হৈছে ১৬ জন লোকৰ৷	Health Minister Keshab Mahanta tweeted that 1,996 cases have been reported in Kamrup (M) and 16 people have died in the state in 24 hours.
এই সম্পৰ্কে এনআইএয়ে জানিব পৰাৰ পিছতে ২০১২ চনৰ ১৭ ছেপ্তেম্বৰত গ্ৰেপ্তাৰ কৰে তমীম আনছাৰীক।	Tamim Ansari was arrested on 17 September 2012 after the NIA came to know about it.
পিছত চফ্ৰাই আৰক্ষীয়ে ছাত্ৰজনৰ উদ্ধাৰৰ বাবে ৰাওনা হয় মৰাণলৈ।	Later, Safrai police rushed to Moran to rescue the student.
লখিমপুৰ চহৰৰ ২১ জন লোক আক্ৰান্ত হৈছে এই ভাইৰাছত৷	Twenty-one people in the city of Lakhimpur have been infected with the virus.
অতি উদ্বেগজনক কথা যে, ৰাজ্যত ৩, ৬৮৫খন প্ৰাথমিক বিদ্যালয় চলি আছে এজনীয়া শিক্ষকৰে।	Worryingly, there are 3,685 primary schools in the state run by single-teacher teachers.
এইসকলৰ ভিতৰত কৃষ্ণাই উদীয়মান যুৱকৰ দলে নাম  প্ৰচাৰ নকৰাকৈ অবিৰত ভাৱে চলাই গৈছে আৰ্তজনৰ সেৱা।	Out of these, Krishna has continuously served the art without being named by the group of budding youngsters.
হাস্পাতালত ভর্তি কৰোৱা হৈছে কিংবদন্তী গায়িকাগৰাকীক।	The legendary singer has been admitted to the hospital.
পাকিস্তান ক্ৰিকেট বৰ্ডৰে ভাৰতৰ মনোমালিন্যৰ পৰা আদি কৰি জাৰ্ছী বিতৰ্কলৈ চুই গৈছে ক্ৰিকেট এৰিনা।	The Pakistan Cricket Board's decision to strip India of its jersey has sparked controversy in the cricket arena.
সঠিক ভাবে এই  বিভাগৰ অদিত কৰিলে উদ্যোগটোৰ একাংশ কৰ্মচাৰীৰ বয়স কমাই চাকৰিৰ ম্যাদ বঢ়োৱা, জাতিগত প্ৰমাণ পত্ৰৰ জালিয়াতি, উদ্যোগটোৰ উচ্চ মৰ্যাদা সম্পন্ন ব’ৰ্ডৰ অনুমতি নোহোৱাকৈ  নীতি বৰ্হিভূতভাবে  মেটেৰীয়েল মেনেজমেণ্ট,  ইলেক্টিকেল, প্ৰডাক্টচণ  আদি বিভাগত বিষয়া পয্যায়ত পদ সৃষ্টি কৰা আদি অবাধ দুৰ্নীতি ফাদিল হোৱাটো নিশ্চিত  আছিল।	Proper auditing of this department was sure to expose rampant corruption in the industry, such as age reduction and extension of service of some employees, forgery of caste certificates, creation of posts at the officer level in Material Management, Electrical, Production, etc. departments in violation of the policy without the approval of the high-ranking board of the industry.
ধোনীৰ বেটৰ পৰাও আশানুৰূপ ৰান নাহিল।	Expected runs did not come from Dhoni's bat either.
এই পথ আৰু দলঙে কৰতিপাৰ,ওখলচুক, বাঘগাওঁ, চামগুৰি, সাৰআটিগাও,চেৰেপাইখোৱা,মিছামৰা নতুন আৰু পৰণি তিনিটা খণ্ড,মাজৰচাপৰি চাৰিটাখণ্ড, কুলি গাওঁ আদি বৃহৎ চৰ গাঁওসমূহ আজি অন্যপ্ৰান্তৰ সমানে আগুৱাই যোৱাত সহায় কৰিছে।	These roads and bridges have helped large char villages like Karatipar, Okhalsuk, Baghgaon, Chhakuri, Saratigao, Cherepaikhowa, Misamra, New and Old three sectors, Majrasapari Charitkhand, Kuli Gaon, etc.
তথাপিও নতুন বছৰ বুলি কলেই ৰাইজৰ মনত উৎসাহ দেখিবলৈ পোৱা যায়।	Even then, the enthusiasm of the people can be seen by calling it a new year.
ইয়াত কোনো ৰাজনৈতিক সম্পৰ্ক নাই বুলি দাবী কৰিছে কৃষি বিভাগে।	The Agriculture Department claims that there is no political connection.
ভাৰতৰ পৰা নেপালে কাঢ়ি ল’ব তিনি ভূখণ্ড	Nepal to snatch three territories from India
এই বিষয়বোৰ নিষ্পত্তি কৰিব লাগিব৷	These issues need to be addressed.
বলপূৰ্বক হিজাব আঁতৰোৱা কাৰ্যই তেওঁৰ আত্মসন্মানত লাগিছে, সেয়ে তেওঁ চাকৰিৰ পৰা ইস্তফা দিয়ে।	"The act of forcibly removing the hijab has taken a toll on her self-esteem, so she resigns from her job. < ref name = ""pildat / dob"" > < / ref > < ref name = ""dob / dob"" > < ref name = ""dob / dob / dob / dob"" > < / ref > < ref name = ""dob / dob / dob"" > < ref name = ""dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / dob / do"
ইটালীঃ ২৬,৯৭৭ জন।	Italy: 26,977.
আধাৰশিলা পৰ্বৰ পাছতে পৰিদৰ্শন বঙলাত মন্ত্ৰীগৰাকীক খৈৰাবাৰীৰ বিভিন্ন দল-সংগঠন,অনুষ্ঠান-প্ৰতিষ্ঠানে শৰাই, গামোচাৰে আদৰণি জনায়।	After the foundation stone laying ceremony, the Minister was given a warm welcome at the Inspection Bungalow by various groups, organizations and institutions of Khairabari.
ফলত প্ৰতিষ্ঠানটোৱে অসৎ উপায় অৱলম্বন কৰাতো ধৰা পৰে ।	As a result, the firm is also found to be adopting unfair means.
এই প্ৰকল্পৰ জৰিয়তে ২০২৪চনৰ ভিতৰত মণিপুৰৰ ১৬খন জিলাৰ ২,৮০,৭৫৬টা পৰিয়ালে লাভ কৰিব বিশুদ্ধ খোৱা পানী।	With this project, 2,80,756 households in 16 districts of Manipur will have access to clean drinking water by 2024.
ভাৰতৰ উপৰিও এই চন্দ্ৰগ্ৰহণ আমেৰিকা, কানাডা, ব্ৰাজিল, আৰ্জেটিনাত পৰিলক্ষিত হব।	Apart from India, the lunar eclipse will be visible in the US, Canada, Brazil, and Argentina.
সৰুৰ পৰাই খাটি খাইছে।	He has been eating food since he was a child.
’উপাচাৰ্য গৰাকীয়ে এই কথা জনালে ‘অসমীয়া প্ৰতিদিন’ৰ ়ডিজিটেল সংস্কৰণক।	The Vice-Chancellor said this to the digital edition of'Asamiya Pratidin '.
মাইকু’-চুম-ফাই হ’ল মাইকু-খৰিৰ দ’ম,চুম-ফাই-অগ্নি সংযোগ কৰা।	Maiku-chum-fai is the domain of maiku-khari, combining chum-fai-agni.
অপেক্ষা আৰু মাত্ৰ দুটা দিনৰ।	Just two more days to go.
তদুপৰি প্রধানমন্ত্রীগৰাকীয়্ কয় যে বিগত বছৰ ধৰি দেশৰ জনতাই তেওঁলোকৰ অধিকাৰৰ কথা কৈ আহিছে আৰু তাৰ বাবে যুঁজি আহিছে৷	The Prime Minister also said that over the years, the people of the country have spoken and fought for their rights.
তদুপৰি নলবাৰী জিলা সাহিত্য সভাৰো আছিল প্ৰাক্তন পত্ৰিকা সম্পাদক।	He was also the former Patrika Secretary of Nalbari Zila Sahitya Sabha.
সেইদিনা  শ্ৰীনগৰ-জম্মু সংযোগী ঘাইপথৰ বনিহালত থকা সবাতোকৈ দীঘল সুৰংগ জৱাহৰ টেনেলৰ সমীপত চিআৰপিএফৰ এখন বাছত খুন্দা মাৰিছিল এখন গাড়ীয়ে।	That day, a car rammed into a CRPF bus near the Jawahar Tunnel, the longest tunnel in Banihal on the Srinagar-Jammu national highway.
তেওঁ কিয় ইমান চিঞৰ বাখৰ কৰিছে।	Why is he making so much noise.
কেইবাখনো বিদ্যালয়ৰ কনকন ছাত্ৰ-ছাত্ৰীকে ধৰি ৰমেশ চন্দ্ৰ চহৰীয়া শিক্ষক প্ৰশিক্ষণ মহাবিদ্যালয়ৰ ছাত্ৰ-ছাত্ৰী, সাধাৰণ ৰাইজ আৰু বন বিভাগৰ বীট্‌ কাৰ্যালয়ৰ লোকসকলে নগৰৰ লেতেৰা পানী গচকি অহা-যোৱা কৰিবলৈ বাধ্য হৈছে ৷	Students of Ramesh Chandra Urban Teachers Training College, including Konkan students from several schools, the general public and people from the beat office of the forest department have been forced to wade through the city's dirty water.
লামডিং-পাথৰখোলা ৰেল ষ্টেচনৰ মাজত মাজ নিশা ১.১০ বজাত উজনিমুৱা গুৱাহাটী-লিডু ইন্টাৰচিটি এক্সপ্ৰেছে মহতিয়াই নিলে এটা বনৰীয়া হাতীক৷	A wild elephant was trampled to death by the Guwahati-Lidu Intercity Express between Lumding-Patharkhola railway station at 1: 10 pm.
